Country Name,Year,"Adolescent fertility rate (births per 1,000 women ages 15-19)",Adults (ages 15+) and children (0-14 years) living with HIV,Antiretroviral therapy coverage (% of people living with HIV),"Contraceptive prevalence, any modern method (% of all women ages 15-49)",Current health expenditure per capita (current US$),Exclusive breastfeeding (% of children under 6 months),"Hospital beds (per 1,000 people)","Immunization, measles (% of children ages 12-23 months)","Incidence of tuberculosis (per 100,000 people)","Life expectancy at birth, total (years)","Maternal mortality ratio (modeled estimate, per 100,000 live births)","Mortality rate, under-5 (per 1,000)",Out-of-pocket expenditure (% of current health expenditure),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),People with basic handwashing facilities including soap and water (% of population),"Physicians (per 1,000 people)",Prevalence of hypertension (% of adults ages 30-79),"Prevalence of stunting, height for age (% of children under 5)","Prevalence of wasting, weight for height (% of children under 5)",Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),Unmet need for contraception (% of married women ages 15-49),Vitamin A supplementation coverage rate (% of children ages 6-59 months),Women who were first married by age 15 (% of women ages 20-24)
Burundi,1975,0.39073436844313886,0.054127255302304264,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.15134427195689673,0.2755102040816326,0.3759148369926813,0.4899197430481589,0.17370129870129872,0.3151121135730397,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.00026260504201680666,0.44534412955465597,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1976,0.3923401874388026,0.054127255302304264,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.15134427195689673,0.2755102040816326,0.3759148369926813,0.4936330859366802,0.17370129870129872,0.3129892530184424,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.00026260504201680666,0.44534412955465597,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1977,0.3883060567911596,0.054127255302304264,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.15134427195689673,0.2755102040816326,0.3759148369926813,0.4978445601882957,0.17370129870129872,0.3084781743399231,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.00026260504201680666,0.44534412955465597,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1978,0.3870974961533082,0.054127255302304264,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.15134427195689673,0.2755102040816326,0.3759148369926813,0.5043957423574756,0.17370129870129872,0.3014461987528195,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.00026260504201680666,0.44534412955465597,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1979,0.3885970065743461,0.054127255302304264,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.15134427195689673,0.2755102040816326,0.3759148369926813,0.5139659024848028,0.17370129870129872,0.29149528990314455,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.00026260504201680666,0.44534412955465597,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1980,0.37453070359490837,0.054127255302304264,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.15134427195689673,0.2755102040816326,0.3759148369926813,0.5244266611097835,0.17370129870129872,0.27942152049887226,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.00026260504201680666,0.44534412955465597,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1981,0.36535459504825846,0.054127255302304264,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.15134427195689673,0.2755102040816326,0.3759148369926813,0.5347062810572754,0.17370129870129872,0.26588828446331436,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.00026260504201680666,0.44534412955465597,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1982,0.35156805147573084,0.054127255302304264,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.15134427195689673,0.39795918367346933,0.3759148369926813,0.5437632149317176,0.17370129870129872,0.2515589757197825,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.00026260504201680666,0.44534412955465597,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1983,0.3420114701356833,0.054127255302304264,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.15134427195689673,0.5408163265306122,0.3759148369926813,0.5501181635336179,0.17370129870129872,0.23762770333023756,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.00026260504201680666,0.44534412955465597,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1984,0.29562176528185763,0.054127255302304264,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.15134427195689673,0.26530612244897955,0.3759148369926813,0.5539522655404651,0.17370129870129872,0.22542125514130293,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.009453781512605043,0.44534412955465597,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1985,0.2927961952720661,0.054127255302304264,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.15134427195689673,0.31632653061224486,0.3759148369926813,0.5535748932956966,0.17370129870129872,0.21600106143027734,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.009453781512605043,0.44534412955465597,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1986,0.2910449013848091,0.054127255302304264,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.07855737600170198,0.5918367346938775,0.3759148369926813,0.549650221950105,0.17532467532467533,0.20976515855114772,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.012342436974789917,0.44534412955465597,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1987,0.29421737305916906,0.054127255302304264,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.07855737600170198,0.5408163265306122,0.3759148369926813,0.5445783389804174,0.17594905094905094,0.20631551014992705,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.012342436974789917,0.44534412955465597,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1988,0.29617568890753954,0.054127255302304264,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.07855737600170198,0.4591836734693877,0.3759148369926813,0.48152698432450913,0.18506493506493507,0.2052540798726284,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.012342436974789917,0.44534412955465597,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1989,0.3032703874667786,0.054127255302304264,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.07855737600170198,0.7346938775510203,0.3759148369926813,0.5246379895668538,0.18406593406593408,0.20591747379594005,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.012342436974789917,0.44534412955465597,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1990,0.31100853266191075,0.054127255302304264,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.07855737600170198,0.7448979591836734,0.3759148369926813,0.5161697563942504,0.18456543456543456,0.20711158285790107,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.012342436974789917,0.44534412955465597,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1991,0.3274416002238075,0.05829409558731614,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.07591803347540985,0.7448979591836734,0.3759148369926813,0.5082600341439042,0.18431568431568432,0.20883640705851136,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.012605042016806723,0.4493927125506073,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1992,0.32838159183102533,0.06662777615733988,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.07591803347540985,0.693877551020408,0.3759148369926813,0.5053769101938735,0.1781968031968032,0.2101631949051347,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.012605042016806723,0.45344129554655865,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1993,0.33529164918170373,0.054127255302304264,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.07591803347540985,0.693877551020408,0.3759148369926813,0.395969148990612,0.2202797202797203,0.24054663659280887,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.011817226890756304,0.4574898785425102,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1994,0.3235697300321724,0.06662777615733988,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.07591803347540985,0.4183673469387755,0.3759148369926813,0.5060712751242474,0.14710289710289712,0.21029587368979702,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.011817226890756304,0.46153846153846156,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
Burundi,1995,0.32786683452231075,0.06662777615733988,0.0,0.0,0.0007527961148744867,0.8737083811710676,0.07591803347540985,0.8061224489795917,0.3759148369926813,0.5071882969687619,0.15684315684315683,0.2089690858431737,0.7074462727176236,0.3426310727751377,0.34507555192739325,0.11367564915184902,0.011554621848739496,0.46558704453441313,0.7205169628432957,0.28510638297872337,0.11319822046465644,0.5960099892641487,0.0,0.07627118644067798
